City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Butaritari,KI,81.27,overcast clouds,3.07,172.79,Isles Sunset Lodge
7,Manokwari,ID,83.55,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
12,Mount Isa,AU,82.4,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
17,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,Cape Coast,GH,78.89,broken clouds,5.11,-1.25,Samrit Hotel
24,Guerrero Negro,MX,76.21,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
26,Carutapera,BR,79.93,moderate rain,-1.2,-46.02,Lidera
29,Atuona,PF,78.33,broken clouds,-9.8,-139.03,Villa Enata
32,Sao Filipe,CV,78.33,broken clouds,14.9,-24.5,Tortuga B&B
35,Merauke,ID,82.27,few clouds,-8.47,140.33,
40,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
42,Harlingen,US,82.4,clear sky,26.19,-97.7,Courtyard by Marriott Harlingen
50,Puerto Colombia,CO,80.6,scattered clouds,10.99,-74.95,Hotel El Emigrante
51,Bengkulu,ID,75.25,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
60,Oriximina,BR,82.09,light rain,-1.77,-55.87,Pousada Tia Amélia
61,Meulaboh,ID,76.42,light rain,4.14,96.13,Kost Pria
62,Buchanan,LR,78.8,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
69,Lorengau,PG,84.38,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
71,Saint George,US,82.4,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
74,Hithadhoo,MV,83.3,light rain,-0.6,73.08,Scoop Guest House
81,Bartica,GY,78.8,few clouds,6.4,-58.62,La Vista Hotel and Apartment
87,Guajara,BR,77.4,light rain,-2.97,-57.67,
89,Victoria,HK,77.0,broken clouds,22.29,114.16,Mini Hotel Central
92,Hilo,US,87.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
93,Galveston,US,75.2,clear sky,29.37,-94.97,Comfort Inn & Suites Texas City
98,Inirida,CO,77.22,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
99,Cabo San Lucas,MX,82.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
