City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Salamiyah,SY,35.01,37.05,59.0,66,0,4.23,clear sky
1,New Norfolk,AU,-42.78,147.06,55.0,62,31,1.01,scattered clouds
2,Vardo,NO,70.37,31.11,41.0,75,75,28.86,broken clouds
3,Butaritari,KI,3.07,172.79,81.27,75,100,13.89,overcast clouds
4,Mataura,NZ,-46.19,168.86,61.86,42,54,5.75,broken clouds
5,Busselton,AU,-33.65,115.33,61.0,76,32,4.0,scattered clouds
6,Rikitea,PF,-23.12,-134.97,71.62,76,83,17.94,broken clouds
7,Manokwari,ID,-0.87,134.08,83.55,72,100,4.41,overcast clouds
8,Pacific Grove,US,36.62,-121.92,60.01,62,75,8.05,broken clouds
9,Qaanaaq,GL,77.48,-69.36,-6.21,77,79,8.28,broken clouds
10,Albany,US,42.6,-73.97,60.01,49,58,4.76,broken clouds
11,Cidreira,BR,-30.18,-50.21,67.37,83,1,14.14,clear sky
12,Mount Isa,AU,-20.73,139.5,82.4,11,0,16.11,clear sky
13,Ushuaia,AR,-54.8,-68.3,44.6,52,40,17.22,scattered clouds
14,Tasiilaq,GL,65.61,-37.64,30.2,80,100,13.87,light snow
15,Saskylakh,RU,71.92,114.08,-0.94,92,98,2.53,overcast clouds
16,Bredasdorp,ZA,-34.53,20.04,55.4,82,75,3.36,light rain
17,Vaini,TO,-21.2,-175.2,78.8,74,40,8.05,scattered clouds
18,Dikson,RU,73.51,80.55,-0.29,89,52,4.41,broken clouds
19,Cape Coast,GH,5.11,-1.25,78.89,89,76,10.47,broken clouds
20,Bluff,NZ,-46.6,168.33,50.13,83,93,13.04,light rain
21,Punta Arenas,CL,-53.15,-70.92,55.4,43,75,19.46,broken clouds
22,Cape Town,ZA,-33.93,18.42,59.0,93,40,6.93,scattered clouds
23,Hermanus,ZA,-34.42,19.23,55.99,89,80,8.01,broken clouds
24,Guerrero Negro,MX,27.98,-114.06,76.21,53,27,15.7,scattered clouds
25,Port Alfred,ZA,-33.59,26.89,61.79,77,100,7.38,overcast clouds
26,Carutapera,BR,-1.2,-46.02,79.93,78,100,6.67,moderate rain
27,Cherskiy,RU,68.75,161.3,9.43,95,78,13.51,broken clouds
28,Upernavik,GL,72.79,-56.15,-0.78,78,0,7.34,clear sky
29,Atuona,PF,-9.8,-139.03,78.33,76,80,17.18,broken clouds
30,Mar Del Plata,AR,-38.0,-57.56,64.4,82,40,11.41,scattered clouds
31,Yellowknife,CA,62.46,-114.35,12.2,85,40,2.24,scattered clouds
32,Sao Filipe,CV,14.9,-24.5,78.33,80,71,6.58,broken clouds
33,Port Macquarie,AU,-31.43,152.92,72.0,53,0,1.99,clear sky
34,Carnarvon,AU,-24.87,113.63,71.6,94,90,17.22,overcast clouds
35,Merauke,ID,-8.47,140.33,82.27,72,15,5.17,few clouds
36,Whitehorse,CA,60.72,-135.05,8.01,71,20,8.05,few clouds
37,Nanfeng,CN,23.74,111.8,62.94,79,18,2.66,few clouds
38,Lompoc,US,34.64,-120.46,60.8,55,1,24.16,clear sky
39,Cubuk,TR,40.24,33.03,46.99,75,0,4.25,clear sky
40,Georgetown,MY,5.41,100.34,78.8,94,20,1.12,few clouds
41,Ancud,CL,-41.87,-73.82,57.2,62,4,8.05,clear sky
42,Harlingen,US,26.19,-97.7,82.4,54,1,17.22,clear sky
43,Port Augusta,AU,-32.5,137.77,61.0,67,0,11.41,clear sky
44,Nikolskoye,RU,59.7,30.79,50.0,76,20,20.13,few clouds
45,Posse,BR,-14.09,-46.37,72.77,74,100,5.12,overcast clouds
46,Inuvik,CA,68.35,-133.72,17.6,72,100,4.7,overcast clouds
47,Lebu,CL,-37.62,-73.65,53.62,76,0,21.0,clear sky
48,Kovernino,RU,57.13,43.81,37.35,83,74,7.18,broken clouds
49,Geraldton,AU,-28.77,114.6,68.0,64,0,4.7,clear sky
50,Puerto Colombia,CO,10.99,-74.95,80.6,88,40,3.36,scattered clouds
51,Bengkulu,ID,-3.8,102.27,75.25,84,57,4.07,broken clouds
52,Kongolo,CD,-5.38,27.0,69.46,95,98,3.18,overcast clouds
53,Hof,DE,50.32,11.92,35.01,74,0,4.41,clear sky
54,Vinh,VN,18.67,105.67,71.44,87,89,7.0,overcast clouds
55,Dauphin,CA,51.15,-100.05,28.4,91,75,5.82,broken clouds
56,Nanortalik,GL,60.14,-45.24,34.68,87,100,18.48,overcast clouds
57,Saint-Philippe,RE,-21.36,55.77,69.8,72,0,6.93,clear sky
58,Craig,US,40.52,-107.55,64.4,18,1,12.75,clear sky
59,Khatanga,RU,71.97,102.5,-5.75,90,41,6.6,scattered clouds
60,Oriximina,BR,-1.77,-55.87,82.09,69,41,3.85,light rain
61,Meulaboh,ID,4.14,96.13,76.42,90,100,5.26,light rain
62,Buchanan,LR,5.88,-10.05,78.8,94,75,5.32,broken clouds
63,Birin,NP,26.89,88.07,50.07,90,0,4.12,clear sky
64,San Quintin,MX,30.48,-115.95,70.45,73,76,9.44,broken clouds
65,Ribeira Grande,PT,38.52,-28.7,60.62,78,96,28.63,light rain
66,Chokurdakh,RU,70.63,147.92,-1.19,94,99,7.02,overcast clouds
67,Vikulovo,RU,56.82,70.61,39.34,74,100,13.0,overcast clouds
68,Arraial Do Cabo,BR,-22.97,-42.03,69.8,88,75,8.05,broken clouds
69,Lorengau,PG,-2.02,147.27,84.38,73,98,9.71,overcast clouds
70,Bosaso,SO,11.28,49.18,73.08,58,34,5.95,scattered clouds
71,Saint George,US,37.1,-113.58,82.4,13,1,14.99,clear sky
72,Sterling,US,39.01,-77.43,68.0,42,20,4.7,few clouds
